teamID,yearID,R,AB,H,2B,3B,HR,BB,HBP,SF,SH,SB,CS
CHA,1993,776,5483,1454,228,44,162,604,33,61,72,106,57
CHA,1995,755,5060,1417,252,37,146,576,32,56,46,110,39
CHA,1996,898,5644,1586,284,33,195,701,34,62,56,105,41
CHA,1997,779,5491,1498,260,28,158,569,33,60,47,106,52
CHA,1998,861,5585,1516,291,38,198,551,47,59,38,127,46
CHA,1999,777,5644,1563,298,37,162,499,34,45,40,110,50
CHA,2000,978,5646,1615,325,33,216,591,53,61,55,119,42
CHA,2001,798,5464,1463,300,29,214,520,52,51,63,123,59
CHA,2002,856,5502,1475,289,29,217,555,49,53,48,75,31
CHA,2003,791,5487,1445,303,19,220,519,58,41,43,77,29
CHA,2004,865,5534,1481,284,19,242,499,63,42,58,78,51
CHA,2005,741,5529,1450,253,23,200,435,79,49,53,137,67
CHA,2006,868,5657,1586,291,20,236,502,58,57,44,93,48
CHA,2007,693,5441,1341,249,20,190,532,52,35,41,78,45
CHA,2008,811,5553,1458,296,13,235,540,63,47,28,67,34
CHA,2009,724,5463,1410,246,20,184,534,62,39,34,113,49
CHA,2010,752,5484,1467,263,21,177,467,79,38,50,160,74
CHA,2011,654,5502,1387,252,16,154,475,84,46,52,81,53
CHN,1954,700,5359,1412,229,45,159,478,32,40,56,46,31
CHN,1955,626,5214,1287,187,55,164,428,22,33,69,37,35
CHN,1956,597,5260,1281,202,50,142,446,13,46,87,55,38
CHN,1957,628,5369,1312,223,31,147,461,26,33,58,28,25
CHN,1958,709,5289,1402,207,49,182,487,45,39,42,39,23
CHN,1959,673,5296,1321,209,44,163,498,43,40,62,32,19
CHN,1960,634,5311,1293,213,48,119,531,19,35,64,51,34
CHN,1961,689,5344,1364,238,51,176,539,32,33,52,35,25
CHN,1962,632,5534,1398,196,56,126,504,39,42,54,78,50
CHN,1963,570,5404,1286,205,44,127,439,36,44,64,68,60
CHN,1964,649,5545,1391,239,50,145,499,25,33,55,70,49
CHN,1965,635,5540,1316,202,33,134,532,43,42,48,65,47
CHN,1966,644,5592,1418,203,43,140,457,47,37,80,76,47
CHN,1967,702,5463,1373,211,49,128,509,34,49,93,63,50
CHN,1968,612,5458,1319,203,43,130,415,36,37,74,41,30
CHN,1969,720,5530,1400,215,40,142,559,36,46,72,30,32
CHN,1970,806,5491,1424,228,44,179,607,20,36,75,39,16
CHN,1971,637,5438,1401,202,34,128,527,34,40,92,44,32
CHN,1972,685,5247,1346,206,40,133,565,28,43,67,69,47
CHN,1973,614,5363,1322,201,21,117,575,20,37,75,65,58
CHN,1974,669,5574,1397,221,42,110,621,29,40,80,78,73
CHN,1975,712,5470,1419,229,41,95,650,30,66,107,67,55
CHN,1976,611,5519,1386,216,24,105,490,30,41,75,74,74
CHN,1977,692,5604,1489,271,37,111,534,27,52,69,64,45
CHN,1978,664,5532,1461,224,48,72,562,21,59,84,110,58
CHN,1979,706,5550,1494,250,43,135,478,35,42,77,73,52
CHN,1980,614,5619,1411,251,35,107,471,18,40,69,93,64
CHN,1982,676,5531,1436,239,46,102,460,25,49,76,132,70
CHN,1983,701,5512,1436,272,42,140,470,29,50,71,84,40
